symbol,open,high,low,close,volume
OANDA:XAUUSD,2929.465,2931.52,2929.445,2931.52,829.0
OANDA:XAUUSD,2931.54,2932.565,2930.44,2931.3,1283.0
OANDA:XAUUSD,2931.265,2932.055,2930.865,2931.735,726.0
OANDA:XAUUSD,2931.75,2932.89,2931.66,2932.7,688.0
OANDA:XAUUSD,2932.685,2933.365,2932.155,2933.295,438.0
OANDA:XAUUSD,2933.325,2934.6,2932.33,2932.97,932.0
OANDA:XAUUSD,2932.94,2934.42,2932.65,2934.245,1042.0
OANDA:XAUUSD,2934.27,2935.875,2934.26,2934.915,738.0
OANDA:XAUUSD,2934.9,2935.96,2934.71,2935.01,711.0
OANDA:XAUUSD,2935.005,2935.435,2933.17,2935.385,1009.0
OANDA:XAUUSD,2935.45,2935.885,2934.33,2935.1,608.0
OANDA:XAUUSD,2935.09,2935.22,2934.195,2935.015,544.0
OANDA:XAUUSD,2934.945,2934.945,2933.145,2933.4,808.0
OANDA:XAUUSD,2933.395,2934.115,2932.385,2932.645,716.0
OANDA:XAUUSD,2932.605,2933.845,2931.76,2932.91,663.0
OANDA:XAUUSD,2932.92,2932.99,2931.68,2931.9,787.0
OANDA:XAUUSD,2931.88,2931.895,2930.86,2931.23,608.0
OANDA:XAUUSD,2931.245,2931.875,2931.055,2931.715,546.0
OANDA:XAUUSD,2931.735,2933.43,2930.455,2932.94,1235.0
OANDA:XAUUSD,2932.855,2934.035,2932.855,2933.37,1353.0
OANDA:XAUUSD,2933.57,2934.295,2932.34,2934.25,668.0
OANDA:XAUUSD,2934.255,2935.865,2934.195,2934.88,858.0
OANDA:XAUUSD,2934.9,2935.235,2934.27,2935.005,673.0
OANDA:XAUUSD,2934.995,2935.395,2933.43,2934.66,1048.0
OANDA:XAUUSD,2934.685,2935.32,2933.87,2934.505,516.0
OANDA:XAUUSD,2934.495,2934.875,2932.695,2932.71,798.0
OANDA:XAUUSD,2932.69,2933.73,2932.435,2933.605,721.0
OANDA:XAUUSD,2933.75,2935.135,2933.515,2934.65,641.0
OANDA:XAUUSD,2934.645,2935.305,2934.14,2935.21,376.0
OANDA:XAUUSD,2935.15,2935.56,2934.2,2934.265,522.0
OANDA:XAUUSD,2934.24,2935.125,2934.24,2934.725,645.0
OANDA:XAUUSD,2934.68,2935.865,2933.835,2935.86,1018.0
OANDA:XAUUSD,2935.915,2937.485,2935.91,2937.485,1996.0
OANDA:XAUUSD,2937.47,2937.875,2936.945,2937.415,1308.0
OANDA:XAUUSD,2937.47,2938.655,2937.07,2937.645,1475.0
OANDA:XAUUSD,2937.635,2939.305,2937.385,2939.17,1058.0
OANDA:XAUUSD,2939.16,2939.675,2938.65,2938.75,808.0
OANDA:XAUUSD,2938.76,2940.12,2938.22,2939.95,1497.0
OANDA:XAUUSD,2940.03,2940.17,2938.285,2938.285,867.0
OANDA:XAUUSD,2938.295,2938.365,2937.07,2937.28,1050.0
OANDA:XAUUSD,2937.285,2938.555,2936.5,2938.455,1047.0
OANDA:XAUUSD,2938.48,2938.78,2937.52,2938.775,993.0
OANDA:XAUUSD,2938.78,2939.65,2938.59,2938.91,1181.0
OANDA:XAUUSD,2938.915,2939.61,2938.32,2938.92,1029.0
OANDA:XAUUSD,2938.85,2939.845,2938.64,2939.695,682.0
OANDA:XAUUSD,2939.645,2946.7,2939.49,2945.84,2063.0
OANDA:XAUUSD,2945.92,2946.135,2943.375,2944.42,2224.0
OANDA:XAUUSD,2944.4,2946.085,2944.24,2946.0,1123.0
OANDA:XAUUSD,2945.99,2946.245,2943.97,2944.44,1609.0
OANDA:XAUUSD,2944.415,2945.63,2942.855,2945.63,1409.0
OANDA:XAUUSD,2945.65,2945.68,2943.98,2944.525,493.0
OANDA:XAUUSD,2944.495,2945.47,2943.685,2945.195,908.0
OANDA:XAUUSD,2945.205,2945.49,2944.145,2944.59,491.0
OANDA:XAUUSD,2944.575,2946.24,2943.84,2945.475,685.0
OANDA:XAUUSD,2945.4,2946.955,2945.34,2946.625,942.0
OANDA:XAUUSD,2946.62,2947.08,2945.455,2945.59,748.0
OANDA:XAUUSD,2945.58,2945.66,2942.785,2943.075,1029.0
OANDA:XAUUSD,2943.07,2944.675,2942.8,2944.34,720.0
OANDA:XAUUSD,2944.31,2944.915,2943.27,2943.285,1004.0
OANDA:XAUUSD,2943.3,2945.82,2943.275,2944.415,1172.0
OANDA:XAUUSD,2944.38,2944.755,2943.95,2944.54,1816.0
OANDA:XAUUSD,2944.525,2945.35,2944.35,2944.91,1073.0
OANDA:XAUUSD,2944.895,2945.69,2944.885,2945.36,831.0
OANDA:XAUUSD,2945.355,2945.685,2944.79,2945.09,522.0
OANDA:XAUUSD,2945.145,2945.535,2943.965,2944.325,399.0
OANDA:XAUUSD,2944.33,2945.43,2944.22,2944.965,732.0
OANDA:XAUUSD,2944.93,2946.2,2944.155,2945.325,1247.0
OANDA:XAUUSD,2945.31,2945.92,2944.095,2944.445,705.0
OANDA:XAUUSD,2944.495,2944.525,2943.06,2943.575,534.0
OANDA:XAUUSD,2943.54,2944.03,2943.335,2943.925,368.0
OANDA:XAUUSD,2943.915,2944.62,2943.58,2943.88,299.0
OANDA:XAUUSD,2943.875,2944.18,2943.48,2943.545,596.0
OANDA:XAUUSD,2943.555,2944.58,2943.29,2943.805,684.0
OANDA:XAUUSD,2943.8,2943.9,2940.24,2940.29,1043.0
OANDA:XAUUSD,2940.24,2942.27,2940.15,2941.215,1555.0
OANDA:XAUUSD,2941.23,2941.865,2938.885,2939.035,922.0
OANDA:XAUUSD,2938.995,2939.57,2936.985,2937.84,1723.0
OANDA:XAUUSD,2937.885,2938.02,2934.28,2935.14,1898.0
OANDA:XAUUSD,2935.135,2935.5,2931.41,2934.945,2165.0
OANDA:XAUUSD,2934.975,2935.065,2932.325,2934.42,1359.0
OANDA:XAUUSD,2934.425,2934.895,2933.375,2934.79,1225.0
OANDA:XAUUSD,2934.81,2936.04,2933.465,2933.47,1540.0
